problem_idx,problem_text,difficulty,hint_text,prompt,smart_model,weak_model,smart_improvement,weak_improvement,improvement_gap,avg_improvement,Llama-3.1-8B-Instruct_improvement,gemma-2-2b-it_improvement,gemma-2-9b-it_improvement,rank_by_gap,rank_by_smart_improvement,rank_by_avg_improvement,composite_score,rank_composite
21,"Given an equilateral triangle $ABC$ with side length $a$, calculate the value of $\overrightarrow{AB} \cdot \overrightarrow{AC} + \overrightarrow{AC} \cdot \overrightarrow{BC}$. Express your answer as a single algebraic expression in terms of $a$.",0.2-0.3,"Since the triangle is equilateral, what is the measure of the angle between any two of its sides?",direct_hint,gemma-2-9b-it,gemma-2-2b-it,0.41666666666666663,-0.08333333333333334,0.5,0.25,0.4166666666666667,-0.08333333333333334,0.41666666666666663,5.0,8.5,26.5,0.45,1.0
48,"Given an arithmetic sequence $\{a_{n}\}$ with a non-zero common difference $d$, and the terms $a_1$, $a_3$, and $a_9$ form a geometric sequence, find the value of $\frac{a_1 + a_3 + a_9}{a_2 + a_4 + a_{10}}$.",0.4-0.5,Write expressions for $a_3$ and $a_9$ in terms of $a_1$ and $d$.,step_suggestion,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.41666666666666663,-0.08333333333333333,0.49999999999999994,0.19444444444444442,0.41666666666666663,-0.08333333333333333,0.25,6.0,8.5,43.0,0.44444444444444436,2.0
14,Find the coefficient of $x^3y^3$ in the expansion of $(x+2y)(2x-y)^5$.,0.1-0.2,The binomial theorem expansion of $(a+b)^n$ is given by $\sum_{k=0}^{n}\binom{n}{k}a^{n-k}b^k$.,direct_hint,Llama-3.1-8B-Instruct,gemma-2-9b-it,0.0,-0.6666666666666667,0.6666666666666667,-0.1666666666666667,0.0,0.16666666666666663,-0.6666666666666667,1.0,103.5,257.5,0.38333333333333336,3.0
48,"Given an arithmetic sequence $\{a_{n}\}$ with a non-zero common difference $d$, and the terms $a_1$, $a_3$, and $a_9$ form a geometric sequence, find the value of $\frac{a_1 + a_3 + a_9}{a_2 + a_4 + a_{10}}$.",0.4-0.5,"To find the value of the expression, first express $a_1$, $a_3$, and $a_9$ in terms of $r$ and $a_1$, then substitute these expressions into the given expression.",direct_hint,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.5,0.16666666666666669,0.3333333333333333,0.25,0.5,0.16666666666666669,0.08333333333333331,17.5,2.5,26.5,0.375,4.0
15,"Given that \\(\alpha\\) is an angle in the second quadrant, and \\(\sin \alpha= \frac { \sqrt {15}}{4}\\), find the value of \\( \frac {\sin (\alpha+ \frac {\pi}{4})}{\sin 2\alpha+\cos 2\alpha+1}\\).",0.1-0.2,Recall the sum identity for sine and the double-angle identities for sine and cosine.,step_suggestion,gemma-2-9b-it,gemma-2-2b-it,0.08333333333333337,-0.5,0.5833333333333334,-0.11111111111111112,0.08333333333333326,-0.5,0.08333333333333337,3.0,37.0,228.0,0.36388888888888893,5.0
25,Let \( x \) and \( y \) be positive real numbers. What is the smallest possible value of \( \frac{16}{x} + \frac{108}{y} + xy \)? Express your answer as a single number.,0.2-0.3,"Can you think of a way to combine the terms \( \frac{16}{x} \) and \( xy \), and also the terms \( \frac{108}{y} \) and \( xy \)?",socratic_question,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.41666666666666663,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.41666666666666663,0.08333333333333333,0.5,17.5,8.5,17.5,0.3583333333333333,6.0
31,What is the greatest number of balls of radius  $1/2$  that can be placed within a rectangular box of size  $10 \times 10 \times  1 \ ?$ ,0.3-0.4,"The diameter of a ball with radius $1/2$ is equal to 1, so divide each dimension of the box by 1.",direct_hint,gemma-2-9b-it,gemma-2-2b-it,0.49999999999999994,0.25,0.24999999999999994,0.38888888888888884,0.4166666666666667,0.25,0.49999999999999994,28.0,4.0,11.0,0.3388888888888888,7.0
21,"Given an equilateral triangle $ABC$ with side length $a$, calculate the value of $\overrightarrow{AB} \cdot \overrightarrow{AC} + \overrightarrow{AC} \cdot \overrightarrow{BC}$. Express your answer as a single algebraic expression in terms of $a$.",0.2-0.3,Consider using the properties of the dot product to simplify the given expression.,socratic_question,gemma-2-9b-it,gemma-2-2b-it,0.25,-0.16666666666666669,0.4166666666666667,0.11111111111111109,0.24999999999999994,-0.16666666666666669,0.25,9.5,18.5,84.5,0.33611111111111114,8.0
66,"Logan makes $65,000 a year. He spends $20,000 on rent every year, $5000 on groceries every year, and $8000 on gas every year. If he needs to make $10,000 more each year, how much money does he want to have left each year?",0.6-0.7,Subtract the total expenses from the desired income to find the total amount Logan wants to make.,socratic_question,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.0,-0.5833333333333334,0.5833333333333334,-0.19444444444444445,0.0,-0.5833333333333334,0.0,3.0,103.5,263.5,0.3305555555555556,9.0
25,Let \( x \) and \( y \) be positive real numbers. What is the smallest possible value of \( \frac{16}{x} + \frac{108}{y} + xy \)? Express your answer as a single number.,0.2-0.3,"Try applying the AM-GM inequality to the three terms \( \frac{16}{x} \), \( \frac{108}{y} \), and \( xy \).",direct_hint,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.41666666666666663,0.16666666666666669,0.24999999999999994,0.3611111111111111,0.41666666666666663,0.16666666666666669,0.5,28.0,8.5,14.0,0.31111111111111106,10.0
