problem_idx,problem_text,difficulty,hint_text,prompt,smart_model,weak_model,smart_improvement,weak_improvement,improvement_gap,avg_improvement,Llama-3.1-8B-Instruct_improvement,gemma-2-2b-it_improvement,gemma-2-9b-it_improvement,rank_by_gap,rank_by_smart_improvement,rank_by_avg_improvement,composite_score,rank_composite
82,"If x is 20 percent more than y and y is some percent less than z, then x is 48 percent of z. What is the percentage decrease of y compared to z?",0.8-0.9,Express x as a percentage of z and set up an equation to relate y to z.,step_suggestion,gemma-2-9b-it,gemma-2-2b-it,0.5833333333333333,0.5,0.08333333333333326,0.3333333333333333,-0.08333333333333334,0.5,0.5833333333333333,79.5,1.0,17.5,0.25833333333333325,16.0
25,Let \( x \) and \( y \) be positive real numbers. What is the smallest possible value of \( \frac{16}{x} + \frac{108}{y} + xy \)? Express your answer as a single number.,0.2-0.3,"Apply the AM-GM inequality to the terms \(\frac{16}{x}\), \(\frac{108}{y}\), and \(xy\).",step_suggestion,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.5,0.33333333333333337,0.16666666666666663,0.4166666666666667,0.5,0.33333333333333337,0.41666666666666663,50.0,2.5,7.5,0.29166666666666663,12.5
48,"Given an arithmetic sequence $\{a_{n}\}$ with a non-zero common difference $d$, and the terms $a_1$, $a_3$, and $a_9$ form a geometric sequence, find the value of $\frac{a_1 + a_3 + a_9}{a_2 + a_4 + a_{10}}$.",0.4-0.5,"To find the value of the expression, first express $a_1$, $a_3$, and $a_9$ in terms of $r$ and $a_1$, then substitute these expressions into the given expression.",direct_hint,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.5,0.16666666666666669,0.3333333333333333,0.25,0.5,0.16666666666666669,0.08333333333333331,17.5,2.5,26.5,0.375,4.0
31,What is the greatest number of balls of radius  $1/2$  that can be placed within a rectangular box of size  $10 \times 10 \times  1 \ ?$ ,0.3-0.4,"The diameter of a ball with radius $1/2$ is equal to 1, so divide each dimension of the box by 1.",direct_hint,gemma-2-9b-it,gemma-2-2b-it,0.49999999999999994,0.25,0.24999999999999994,0.38888888888888884,0.4166666666666667,0.25,0.49999999999999994,28.0,4.0,11.0,0.3388888888888888,7.0
31,What is the greatest number of balls of radius  $1/2$  that can be placed within a rectangular box of size  $10 \times 10 \times  1 \ ?$ ,0.3-0.4,"If you were to stack the balls on top of each other, how many would you be able to fit in the 10 x 10 area?",socratic_question,gemma-2-9b-it,gemma-2-2b-it,0.4166666666666667,0.5,-0.08333333333333331,0.36111111111111116,0.16666666666666669,0.5,0.4166666666666667,109.5,5.5,13.0,0.11111111111111113,41.0
82,"If x is 20 percent more than y and y is some percent less than z, then x is 48 percent of z. What is the percentage decrease of y compared to z?",0.8-0.9,What decimal value is equivalent to 48%?,socratic_question,gemma-2-9b-it,gemma-2-2b-it,0.4166666666666667,0.33333333333333337,0.08333333333333331,0.19444444444444445,-0.16666666666666669,0.33333333333333337,0.4166666666666667,74.0,5.5,38.5,0.19444444444444442,29.0
21,"Given an equilateral triangle $ABC$ with side length $a$, calculate the value of $\overrightarrow{AB} \cdot \overrightarrow{AC} + \overrightarrow{AC} \cdot \overrightarrow{BC}$. Express your answer as a single algebraic expression in terms of $a$.",0.2-0.3,"Since the triangle is equilateral, what is the measure of the angle between any two of its sides?",direct_hint,gemma-2-9b-it,gemma-2-2b-it,0.41666666666666663,-0.08333333333333334,0.5,0.25,0.4166666666666667,-0.08333333333333334,0.41666666666666663,5.0,8.5,26.5,0.45,1.0
25,Let \( x \) and \( y \) be positive real numbers. What is the smallest possible value of \( \frac{16}{x} + \frac{108}{y} + xy \)? Express your answer as a single number.,0.2-0.3,"Can you think of a way to combine the terms \( \frac{16}{x} \) and \( xy \), and also the terms \( \frac{108}{y} \) and \( xy \)?",socratic_question,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.41666666666666663,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.41666666666666663,0.08333333333333333,0.5,17.5,8.5,17.5,0.3583333333333333,6.0
25,Let \( x \) and \( y \) be positive real numbers. What is the smallest possible value of \( \frac{16}{x} + \frac{108}{y} + xy \)? Express your answer as a single number.,0.2-0.3,"Try applying the AM-GM inequality to the three terms \( \frac{16}{x} \), \( \frac{108}{y} \), and \( xy \).",direct_hint,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.41666666666666663,0.16666666666666669,0.24999999999999994,0.3611111111111111,0.41666666666666663,0.16666666666666669,0.5,28.0,8.5,14.0,0.31111111111111106,10.0
48,"Given an arithmetic sequence $\{a_{n}\}$ with a non-zero common difference $d$, and the terms $a_1$, $a_3$, and $a_9$ form a geometric sequence, find the value of $\frac{a_1 + a_3 + a_9}{a_2 + a_4 + a_{10}}$.",0.4-0.5,Write expressions for $a_3$ and $a_9$ in terms of $a_1$ and $d$.,step_suggestion,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.41666666666666663,-0.08333333333333333,0.49999999999999994,0.19444444444444442,0.41666666666666663,-0.08333333333333333,0.25,6.0,8.5,43.0,0.44444444444444436,2.0
