problem_idx,problem_text,difficulty,hint_text,prompt,smart_model,weak_model,smart_improvement,weak_improvement,improvement_gap,avg_improvement
20,An employee makes $30 an hour for the first 40 hours in the workweek and an additional percentage for every hour above 40 in the week. He works 6 hours for the first 3 days in the workweek and twice as many hours per day for the remaining 2 days. He made $1290. What is the additional percentage he makes for every hour above 40 in the week?,,"What is the relationship between the difference between the additional hourly rate and the original hourly rate, and the additional percentage? How can you use this relationship to find the additional percentage?",socratic_hint,gemma-2-2b-it,gemma-2-9b-it,-0.08333333333333333,-0.4166666666666667,0.33333333333333337,-0.25
79,"Lindsey saved some money in September, $37 in October, and $11 in November. Her mom gave her $25 since she saved more than $75. After spending $87 on a video game, Lindsey had $36 left. How much money did Lindsey save in September?",,"If you're setting up an equation, what are the two things that must be equal? Problem: The length of a rectangle is 6 cm more than its width. If the area of the rectangle is 120 square cm, what is the width of the rectangle? Solution: Let's call the width of the rectangle ""w"". The length of the rectangle is ""w + 6"". The area of a rectangle is length times width. So, we can set up the equation: w(w + 6) = 120 Now, let's expand the equation: w^2 + 6w = 120 Now, let's rearrange the equation: w^2 + 6w - 120 = 0 This is a quadratic equation. We can factor the left-hand side: (w + 12)(w - 10) = 0 Now, let's solve for w: w + 12 = 0 or w - 10 = 0 w = -12 or w = 10 Since the width of a rectangle cannot be negative, we can ignore the solution w = -12. So, the width of the rectangle is w = 10 cm. **HINT**: When you're given an equation in the form (x + a)(x + b) = 0, what are the two possible values of x? Problem: Solve for x: 2x + 5 = 11 Solution: 2x + 5 = 11 Subtract 5 from both sides: 2x = 6 Divide both sides by 2: x = 3 **HINT**: What happens when you divide both sides of an equation by a number? Problem: Solve for x: x/4 + 2 = 9 Solution: x/4 + 2 = 9 Subtract 2 from both sides: x/4 = 7 Multiply both sides by 4: x = 28 **HINT**: When you multiply both sides of an equation by a number, what do you need to remember about the direction of the inequality sign? Problem: Solve for x: 4x - 3 = 25 Solution: 4x - 3 = 25 Add 3 to both sides: 4x = 28 Divide both sides by 4: x = 7 **HINT**: When you divide both sides of an equation by a number, what happens to the decimal places? Problem: Solve for x: 2x - 3 = 7 Solution: 2x - 3 = 7 Add 3 to both sides: 2x = 10 Divide both sides by 2: x = 5 **HINT**: When you divide both sides of an equation by a number, what do you need to remember about fractions? Problem: Solve for x: x - 2 = 9 Solution: x - 2 = 9 Add 2 to both sides: x = 11 **HINT**: When you add the same number to both sides of an equation, what happens to the value of x? Problem: Solve for x: x/2 + 3 = 7 Solution: x/2 + 3 = 7 Subtract 3 from both sides: x/2 = 4 Multiply both sides by 2: x = 8 **HINT**: When you multiply both sides of an equation by a number, what do you need to remember about the order of operations? Problem: Solve for x: 3x + 2 = 14 Solution: 3x + 2 = 14 Subtract 2 from both sides: 3x = 12 Divide both sides by 3: x = 4 **HINT**: When you divide both sides of an equation by a number, what do you need to remember about the reciprocal of a number? Problem: Solve for x: x/3 - 2 = 5 Solution: x/3 - 2 = 5 Add 2 to both sides: x/3 = 7 Multiply both sides by 3: x = 21 **HINT**: When you multiply both sides of an equation by a number, what do you need to remember about the commutative property? Problem: Solve for x: 2x - 4 = 12 Solution: 2x - 4 = 12 Add 4 to both sides: 2x = 16 Divide both sides by 2: x = 8 **HINT**: When you divide both sides of an equation by a number, what do you need to remember about the distributive property? Problem: Solve for x: 5x = 30 Solution: 5x = 30 Divide both sides by 5: x = 6 **HINT**: When you divide both sides of an equation by a number, what do you need to remember about the greatest common divisor? Problem: Solve for x: x/2 + 3 = 7 Solution: x/2 +",socratic_hint,gemma-2-2b-it,gemma-2-9b-it,-0.08333333333333333,-0.33333333333333337,0.25000000000000006,-0.20833333333333334
84,Calculate $( \frac {1+i}{1-i})^{2017}+( \frac {1-i}{1+i})^{2017}$.,,What happens when you multiply a complex number by its conjugate? How can this help you simplify the given expressions?  (Think about what gets canceled out.)  How can you apply this to the problem at hand?  What would be the result if you simplify the expressions in the problem using this knowledge?  Can you then use this simplified result to make further progress?  Think about the properties of the complex number $i$.  What happens when you raise $i$ to a power?  Can you use this to make further progress?  Can you use the property that $i^4 = 1$ to simplify further?  What happens when you raise a real number to a power?  Can you apply this to the problem at hand?  Think about the result of raising a real number to a power.  What happens when you multiply two real numbers together?  Can you apply this to the problem at hand?  Think about the result of multiplying two real numbers together.  What happens when you add two real numbers together?  Can you apply this to the problem at hand?  Think about the result of adding two real numbers together.  Can you use the property that $i^4 = 1$ to simplify further?  What happens when you raise $i$ to a power?  Can you use this to make further progress?  Think about the properties of the complex number $i$.  What happens when you multiply a complex number by its conjugate?  How can this help you simplify the given expressions?  Think about what gets canceled out.  What happens when you simplify the expressions in the problem using this knowledge?  Can you then use this simplified result to make further progress?  Think about the result of raising $i$ to a power.  Can you use this to make further progress?  Can you use the property that $i^4 = 1$ to simplify further?  What happens when you multiply two real numbers together?  Can you apply this to the problem at hand?  Think about the result of multiplying two real numbers together.  What happens when you add two real numbers together?  Can you apply this to the problem at hand?  Think about the result of adding two real numbers together.  Can you use the property that $i^4 = 1$ to simplify further?  What happens when you raise $i$ to a power?  Can you use this to make further progress?  Think about the properties of the complex number $i$.  What happens when you multiply a complex number by its conjugate?  How can this help you simplify the given expressions?  Think about what gets canceled out.  What happens when you simplify the expressions in the problem using this knowledge?  Can you then use this simplified result to make further progress?  Think about the result of raising $i$ to a power.  Can you use this to make further progress?  Can you use the property that $i^4 = 1$ to simplify further?  What happens when you raise a real number to a power?  Can you apply this to the problem at hand?  Think about the result of raising a real number to a power.  What happens when you multiply two real numbers together?  Can you apply this to the problem at hand?  Think about the result of multiplying two real numbers together.  What happens when you add two real numbers together?  Can you apply this to the problem at hand?  Think about the result of adding two real numbers together.  Can you use the property that $i^4 = 1$ to simplify further?  What happens when you raise $i$ to a power?  Can you use this to make further progress?  Think about the properties of the complex number $i$.  What happens when you multiply a complex number by its conjugate?  How can this help you simplify the given expressions?  Think about what gets canceled out.  What happens when you simplify the expressions in the problem using this knowledge?  Can you then use this simplified result to make further progress?  Think about the result of raising $i$ to a power.  Can you use this to make further progress?  Can you use the property that $i^4 = 1$ to simplify further?  What happens when you multiply two real numbers together?  Can you apply this to the problem at hand?  Think about the result of multiplying two real numbers together.  What happens when you add two real numbers together?  Can you apply this to the problem at hand?  Think about the result of adding two real numbers together.  Can you use the property that $i^4 = 1$ to simplify further?  What happens when you raise $i$ to a power?  Can you use this to make further progress?  Think about the properties of the complex number $i$.  What happens when you multiply a complex number by its conjugate?  How can this,socratic_hint,gemma-2-9b-it,gemma-2-2b-it,-0.16666666666666669,-0.4166666666666667,0.25,-0.2916666666666667
94,"A road has four intersections. At the first intersection, there are 40 road signs showing different types of information mounted on the street poles. At the second intersection, 1/4 times more road signs than the first intersection are mounted on the street poles. The number of road signs at the third intersection is twice the number at the second intersection. If at the fourth intersection the number of road signs is 20 fewer than those at the third intersection, calculate the total number of road signs at the four intersections.",,"If you are trying to find the number of road signs at each intersection, what is the first step you should take to find the number of road signs at the second intersection?  Please provide a Socratic question for the problem.",socratic_hint,gemma-2-2b-it,gemma-2-9b-it,-0.16666666666666669,-0.3333333333333333,0.16666666666666663,-0.25
53,"In a range of numbers, there is 1 integer n that is a prime number. The range starts at 200. What is the ending point of the range if it's known that the range is 200 < n < 220?",,What can you eliminate from the list of integers between 200 and 220 to narrow down the possibilities for the prime number n?,socratic_hint,gemma-2-2b-it,gemma-2-9b-it,-0.08333333333333333,-0.08333333333333334,1.3877787807814457e-17,-0.08333333333333334
38,Compare the size of $2^{100}$ and $3^{75}$.,,"What happens when you compare the bases of the two exponentials, and how can you use that comparison to help you determine the relationship between the two numbers?",socratic_hint,gemma-2-9b-it,gemma-2-2b-it,-0.25,-0.25,0.0,-0.25
38,Compare the size of $2^{100}$ and $3^{75}$.,,"What happens when you compare the bases of the two exponentials, and how can you use that comparison to help you determine the relationship between the two numbers?",socratic_hint,gemma-2-2b-it,gemma-2-9b-it,-0.25,-0.25,0.0,-0.25
67,"What is the smallest number which when increased by 3 is divisible by 18, some number, 25, and 21? The answer is 3153.",,"What is the relationship between the least common multiple (LCM) of the divisors and the number we are trying to find? How does the LCM help in solving the problem? 
Problem:
Find the value of x in the equation 2x^2 + 5x - 3 = 0.",socratic_hint,gemma-2-9b-it,gemma-2-2b-it,-0.4166666666666667,-0.4166666666666667,0.0,-0.4166666666666667
67,"What is the smallest number which when increased by 3 is divisible by 18, some number, 25, and 21? The answer is 3153.",,"What is the relationship between the least common multiple (LCM) of the divisors and the number we are trying to find? How does the LCM help in solving the problem? 
Problem:
Find the value of x in the equation 2x^2 + 5x - 3 = 0.",socratic_hint,gemma-2-2b-it,gemma-2-9b-it,-0.4166666666666667,-0.4166666666666667,0.0,-0.4166666666666667
53,"In a range of numbers, there is 1 integer n that is a prime number. The range starts at 200. What is the ending point of the range if it's known that the range is 200 < n < 220?",,What can you eliminate from the list of integers between 200 and 220 to narrow down the possibilities for the prime number n?,socratic_hint,gemma-2-9b-it,gemma-2-2b-it,-0.08333333333333334,-0.08333333333333333,-1.3877787807814457e-17,-0.08333333333333334
