problem_idx,problem_text,difficulty,hint_text,prompt,smart_model,weak_model,smart_improvement,weak_improvement,improvement_gap,avg_improvement,Llama-3.1-8B-Instruct_improvement,gemma-2-2b-it_improvement,gemma-2-9b-it_improvement,rank_by_gap,rank_by_smart_improvement,rank_by_avg_improvement,composite_score,rank_composite
82,"If x is 20 percent more than y and y is some percent less than z, then x is 48 percent of z. What is the percentage decrease of y compared to z?",0.8-0.9,Express x as a percentage of z and set up an equation to relate y to z.,step_suggestion,gemma-2-9b-it,gemma-2-2b-it,0.5833333333333333,0.0,0.5833333333333333,0.16666666666666663,-0.08333333333333334,0.0,0.5833333333333333,3.0,1.0,31.0,0.5416666666666665,1.0
25,Let \( x \) and \( y \) be positive real numbers. What is the smallest possible value of \( \frac{16}{x} + \frac{108}{y} + xy \)? Express your answer as a single number.,0.2-0.3,"Apply the AM-GM inequality to the terms \(\frac{16}{x}\), \(\frac{108}{y}\), and \(xy\).",step_suggestion,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.5,-0.08333333333333333,0.5833333333333334,0.27777777777777773,0.5,-0.08333333333333333,0.41666666666666663,2.0,3.5,6.5,0.5277777777777778,2.0
69,"A tradesman sold an article at a certain loss percentage. If the selling price had been increased by $500, there would have been a gain of 15%. The cost price of the article was $1250. What was the loss percentage when the article was initially sold?",0.6-0.7,"Set up an equation using the fact that the new selling price is equal to the original selling price plus $500, and also equal to 115% of the cost price.",direct_hint,gemma-2-9b-it,gemma-2-2b-it,0.5,0.0,0.5,0.22222222222222224,0.16666666666666669,0.0,0.5,5.5,3.5,13.0,0.4722222222222222,3.0
69,"A tradesman sold an article at a certain loss percentage. If the selling price had been increased by $500, there would have been a gain of 15%. The cost price of the article was $1250. What was the loss percentage when the article was initially sold?",0.6-0.7,"Set up an equation using the cost price, the increased selling price, and the gain percentage to find the initial selling price.",step_suggestion,gemma-2-9b-it,gemma-2-2b-it,0.5,0.0,0.5,0.16666666666666666,0.0,0.0,0.5,5.5,3.5,27.5,0.4666666666666666,4.0
49,"Shawn invested one half of his savings in a bond that paid simple interest for 2 years and received $550 as interest. He invested the remaining in a bond that paid compound interest, interest being compounded annually, for the same 2 years at the same rate of interest. The value of his total savings before investing in these two bonds was $2750. How much interest did Shawn receive from the compound interest bond?",0.4-0.5,Calculate the rate of interest using the simple interest formula and then apply it to the compound interest formula.,step_suggestion,gemma-2-9b-it,gemma-2-2b-it,0.5,0.0,0.5,0.1388888888888889,-0.08333333333333333,0.0,0.5,5.5,3.5,38.5,0.46388888888888885,5.0
25,Let \( x \) and \( y \) be positive real numbers. What is the smallest possible value of \( \frac{16}{x} + \frac{108}{y} + xy \)? Express your answer as a single number.,0.2-0.3,"Try applying the AM-GM inequality to the three terms \( \frac{16}{x} \), \( \frac{108}{y} \), and \( xy \).",direct_hint,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.41666666666666663,-0.08333333333333333,0.49999999999999994,0.27777777777777773,0.41666666666666663,-0.08333333333333333,0.5,8.0,12.0,6.5,0.4527777777777777,6.0
21,"Given an equilateral triangle $ABC$ with side length $a$, calculate the value of $\overrightarrow{AB} \cdot \overrightarrow{AC} + \overrightarrow{AC} \cdot \overrightarrow{BC}$. Express your answer as a single algebraic expression in terms of $a$.",0.2-0.3,"Since the triangle is equilateral, what is the measure of the angle between any two of its sides?",direct_hint,gemma-2-9b-it,gemma-2-2b-it,0.41666666666666663,-0.08333333333333334,0.5,0.25,0.4166666666666667,-0.08333333333333334,0.41666666666666663,5.5,12.0,9.5,0.45,7.0
48,"Given an arithmetic sequence $\{a_{n}\}$ with a non-zero common difference $d$, and the terms $a_1$, $a_3$, and $a_9$ form a geometric sequence, find the value of $\frac{a_1 + a_3 + a_9}{a_2 + a_4 + a_{10}}$.",0.4-0.5,Write expressions for $a_3$ and $a_9$ in terms of $a_1$ and $d$.,step_suggestion,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.41666666666666663,0.0,0.41666666666666663,0.2222222222222222,0.41666666666666663,0.0,0.25,12.0,12.0,16.0,0.39722222222222214,8.0
92,"Fred has 38 red marbles, half as many green ones, and the rest are dark blue. If he has a certain number of marbles and 6 of them are dark blue, how many marbles does Fred have in total?",0.9-1,"Let's represent the total number of marbles as a variable, and then set up an equation that accounts for the number of each color of marble.",direct_hint,gemma-2-9b-it,gemma-2-2b-it,-0.08333333333333337,-0.8333333333333334,0.75,-0.3055555555555556,0.0,-0.8333333333333334,-0.08333333333333337,1.0,199.5,292.5,0.3944444444444444,9.0
67,"Consider a sequence formed by all powers of 3, or the sum of several distinct powers of 3, arranged in ascending order. The sequence starts as 1, 3, 4, 9, 10, 12, 13, … What is the 100th term of this sequence?",0.6-0.7,Convert the term numbers into binary and analyze the pattern formed by the resulting sequence.,step_suggestion,Llama-3.1-8B-Instruct,gemma-2-9b-it,0.41666666666666674,0.0,0.41666666666666674,0.13888888888888892,0.41666666666666674,0.0,0.0,9.0,7.0,33.5,0.388888888888889,10.0
