problem_idx,problem_text,difficulty,hint_text,prompt,smart_model,weak_model,smart_improvement,weak_improvement,improvement_gap,avg_improvement,Llama-3.1-8B-Instruct_improvement,gemma-2-2b-it_improvement,gemma-2-9b-it_improvement,rank_by_gap,rank_by_smart_improvement,rank_by_avg_improvement,composite_score,rank_composite
14,Find the coefficient of $x^3y^3$ in the expansion of $(x+2y)(2x-y)^5$.,0.1-0.2,The binomial theorem expansion of $(a+b)^n$ is given by $\sum_{k=0}^{n}\binom{n}{k}a^{n-k}b^k$.,direct_hint,Llama-3.1-8B-Instruct,gemma-2-9b-it,0.0,-0.6666666666666667,0.6666666666666667,-0.1666666666666667,0.0,0.16666666666666663,-0.6666666666666667,1.0,103.5,257.5,0.38333333333333336,3.0
15,"Given that \\(\alpha\\) is an angle in the second quadrant, and \\(\sin \alpha= \frac { \sqrt {15}}{4}\\), find the value of \\( \frac {\sin (\alpha+ \frac {\pi}{4})}{\sin 2\alpha+\cos 2\alpha+1}\\).",0.1-0.2,Recall the sum identity for sine and the double-angle identities for sine and cosine.,step_suggestion,gemma-2-9b-it,gemma-2-2b-it,0.08333333333333337,-0.5,0.5833333333333334,-0.11111111111111112,0.08333333333333326,-0.5,0.08333333333333337,3.0,37.0,228.0,0.36388888888888893,5.0
66,"Logan makes $65,000 a year. He spends $20,000 on rent every year, $5000 on groceries every year, and $8000 on gas every year. If he needs to make $10,000 more each year, how much money does he want to have left each year?",0.6-0.7,Subtract the total expenses from the desired income to find the total amount Logan wants to make.,socratic_question,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.0,-0.5833333333333334,0.5833333333333334,-0.19444444444444445,0.0,-0.5833333333333334,0.0,3.0,103.5,263.5,0.3305555555555556,9.0
92,"Fred has 38 red marbles, half as many green ones, and the rest are dark blue. If he has a certain number of marbles and 6 of them are dark blue, how many marbles does Fred have in total?",0.9-1,"Let's represent the total number of marbles as a variable, and then set up an equation that accounts for the number of each color of marble.",direct_hint,gemma-2-9b-it,gemma-2-2b-it,-0.08333333333333337,-0.6666666666666667,0.5833333333333334,-0.25000000000000006,0.0,-0.6666666666666667,-0.08333333333333337,3.0,183.5,279.5,0.3,11.0
21,"Given an equilateral triangle $ABC$ with side length $a$, calculate the value of $\overrightarrow{AB} \cdot \overrightarrow{AC} + \overrightarrow{AC} \cdot \overrightarrow{BC}$. Express your answer as a single algebraic expression in terms of $a$.",0.2-0.3,"Since the triangle is equilateral, what is the measure of the angle between any two of its sides?",direct_hint,gemma-2-9b-it,gemma-2-2b-it,0.41666666666666663,-0.08333333333333334,0.5,0.25,0.4166666666666667,-0.08333333333333334,0.41666666666666663,5.0,8.5,26.5,0.45,1.0
48,"Given an arithmetic sequence $\{a_{n}\}$ with a non-zero common difference $d$, and the terms $a_1$, $a_3$, and $a_9$ form a geometric sequence, find the value of $\frac{a_1 + a_3 + a_9}{a_2 + a_4 + a_{10}}$.",0.4-0.5,Write expressions for $a_3$ and $a_9$ in terms of $a_1$ and $d$.,step_suggestion,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.41666666666666663,-0.08333333333333333,0.49999999999999994,0.19444444444444442,0.41666666666666663,-0.08333333333333333,0.25,6.0,8.5,43.0,0.44444444444444436,2.0
15,"Given that \\(\alpha\\) is an angle in the second quadrant, and \\(\sin \alpha= \frac { \sqrt {15}}{4}\\), find the value of \\( \frac {\sin (\alpha+ \frac {\pi}{4})}{\sin 2\alpha+\cos 2\alpha+1}\\).",0.1-0.2,What do we know about the sine of the sum of two angles?,socratic_question,gemma-2-9b-it,gemma-2-2b-it,-0.08333333333333326,-0.5,0.41666666666666674,-0.2222222222222222,-0.08333333333333337,-0.5,-0.08333333333333326,7.0,160.0,266.0,0.20277777777777786,26.0
5,"A store sells pencils and erasers. It has a rule that for every pencil you buy, you must buy 2 erasers which cost 1/2 the price of the pencils. They sold 20 pencils and the erasers cost $1 each. How much did the store earn from selling pencils and erasers?",0-0.1,"If the erasers cost half the price of the pencils, and they sold for $1 each, what does this mean the pencils must be selling for?",direct_hint,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.0,-0.4166666666666667,0.4166666666666667,-0.1111111111111111,0.0,-0.4166666666666667,0.08333333333333337,9.5,103.5,221.0,0.2388888888888889,17.0
13,"In $\triangle ABC$, if $a=9$, $b=10$, $c=12$, then the shape of $\triangle ABC$ is $\_\_\_\_\_\_$.",0.1-0.2,"Plug the values of a, b, and c into the formula $a^2 + b^2 > c^2$ and see if the result is true or false.",direct_hint,Llama-3.1-8B-Instruct,gemma-2-2b-it,0.0,-0.4166666666666667,0.4166666666666667,-0.1388888888888889,0.0,-0.4166666666666667,0.0,9.5,103.5,240.5,0.2361111111111111,18.0
21,"Given an equilateral triangle $ABC$ with side length $a$, calculate the value of $\overrightarrow{AB} \cdot \overrightarrow{AC} + \overrightarrow{AC} \cdot \overrightarrow{BC}$. Express your answer as a single algebraic expression in terms of $a$.",0.2-0.3,Consider using the properties of the dot product to simplify the given expression.,socratic_question,gemma-2-9b-it,gemma-2-2b-it,0.25,-0.16666666666666669,0.4166666666666667,0.11111111111111109,0.24999999999999994,-0.16666666666666669,0.25,9.5,18.5,84.5,0.33611111111111114,8.0
